Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
Joel Embiid,PHI,"PF,C DTD",30.8,12,3.9,1.5,1.1,0.498,0.83,1.3,67,34.2,3.2,19.62,11.81
Giannis Antetokounmpo,MIL,"PF,C DTD",30,11.5,5.8,1.5,1.1,0.542,0.731,1.1,71,33.9,3.1,18.57,11.43
Ja Morant,MEM,PG,29.4,5.6,7.2,0.4,1.1,0.5,0.774,1.7,69,33.6,3.6,20.65,7.28
Luka Doncic,DAL,"PG,SG",29.2,9.7,8.9,0.6,1.2,0.462,0.758,3.2,73,34.7,4.4,21.58,7.52
Kevin Durant,BKN,"SF,PF",28.9,7.1,6,0.9,0.9,0.505,0.902,2.2,69,36,3.4,20.25,7.44
LeBron James,LAL,"PG,SG,SF,PF",28.2,7.5,6.5,0.9,1.3,0.518,0.73,2.7,69,34.2,3.2,21.80,6.00
Zion Williamson,NOR,PF,27.7,7.4,4.1,0.6,0.9,0.598,0.711,0.3,62,33.3,2.6,17.00,6.00
Trae Young,ATL,PG DTD,27.2,3.8,8.7,0.1,0.9,0.457,0.904,3.1,77,34.6,3.7,20.32,7.28
Jayson Tatum,BOS,"SF,PF DTD",27.2,7.7,4.8,0.6,1,0.458,0.858,3.2,75,35.8,2.9,20.58,6.17
Devin Booker,PHO,"SG,SF,PG DTD",27,5.1,4.8,0.4,1.2,0.463,0.867,2.7,72,34.8,2.5,20.90,5.34
Damian Lillard,POR,PG,26.7,3.8,7.4,0.3,0.9,0.448,0.869,3.7,71,35.7,2.9,19.03,6.24
Kyrie Irving,BKN,"PG,SG DTD",26.6,4.3,5.5,0.5,1.3,0.465,0.917,3.2,63,36.4,2.6,21.24,4.45
Nikola Jokic,DEN,"PF,C DTD",26.3,12.7,8.1,0.9,1.4,0.563,0.82,1.3,75,33.6,3.7,17.72,6.32
DeMar DeRozan,CHI,"SF,PF,SG DTD",25.8,4.9,4.7,0.3,0.9,0.481,0.874,0.8,77,35.5,2.4,20.20,7.80
Shai Gilgeous-Alexander,OKC,"PG,SG",25.7,4.7,5.9,0.7,1.3,0.464,0.829,1.9,67,35.4,3,18.77,7.23
Stephen Curry,GSW,"PG,SG",25.4,5.1,6.4,0.3,1.3,0.452,0.918,4.5,66,34.4,3.2,19.11,4.66
Zach LaVine,CHI,"SG,SF",24.5,4.7,4.5,0.3,0.7,0.48,0.844,2.8,70,34.7,2.5,17.69,5.60
De'Aaron Fox,SAC,PG DTD,24.4,4.1,6.8,0.4,1.3,0.479,0.744,1.5,68,35.5,2.9,18.51,5.90
Bradley Beal,WAS,"SG,SF",23.9,4.6,6,0.3,1.1,0.464,0.828,2.1,72,35.7,3.1,19.28,5.03
Jaylen Brown,BOS,"SG,SF DTD",23.8,6.1,3.6,0.3,1.1,0.47,0.764,2.5,73,33.9,2.6,18.44,4.82
Kawhi Leonard,LAC,"SG,SF,PF OUT",23.7,6.6,4.5,0.4,1.4,0.484,0.891,1.9,62,32.6,2.2,17.50,5.00
Anthony Davis,LAL,"PF,C DTD",23.7,9.6,3.1,2,1.3,0.513,0.717,0.4,64,35.4,2.1,17.38,6.10
Karl-Anthony Towns,MIN,C,23.6,9.3,3.5,1.1,0.9,0.519,0.769,2.1,74,33.5,3.1,16.39,6.31
Brandon Ingram,NOR,"SF,PF DTD",23.1,5.4,5.1,0.5,0.8,0.454,0.816,1.5,67,34.5,2.5,17.85,5.85
Donovan Mitchell,CLE,"PG,SG",23,3.9,5.8,0.2,1.5,0.457,0.837,2.7,73,34.1,2.7,20.55,4.67
Paul George,LAC,"SF,PF,SG DTD",22.9,6.5,5,0.4,1.7,0.453,0.855,3,66,34.6,3.3,20.55,4.84
Anthony Edwards,MIN,"SG,SF",22.8,4.5,4.2,0.6,1.4,0.446,0.789,3.2,73,35,2.6,17.28,3.89
James Harden,PHI,"PG,SG",22.7,7.5,10,0.6,1.3,0.436,0.869,2.5,72,36.2,4.2,15.26,8.25
Pascal Siakam,TOR,"PF,C",22.1,8.3,5.1,0.6,1.2,0.476,0.75,1.3,72,37.1,2.7,17.75,5.57
Jalen Green,HOU,SG,22,3.6,3.4,0.3,0.8,0.442,0.808,2.9,74,33.6,2.2,15.80,4.00
LaMelo Ball,CHA,"PG,SG",22,6.6,8.2,0.4,1.6,0.435,0.866,3.1,76,33.6,3.5,16.72,3.24
